label,url,filepath,width,height
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROCdoKivze2LQCd35u2pvZNyaQdAxhEDuRr4_jQejsfZfZdHRFxzfxoNff&s,image_dataset\Lion\Lion_1.jpg,47,46
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLwq9qlGM-jCM5sDFlMPLXyjfLAed2djbPigxCI66OZy4_ghnBoEoYjK0L&s,image_dataset\Lion\Lion_2.jpg,46,82
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlilWgcL1-CMZ7hi9av60mZvR-PDjVwpS2DAg26angHZOLrF1yd5wlM-u4&s,image_dataset\Lion\Lion_3.jpg,46,46
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnox7mebqE524yB1wzrOjMOfMiWw39Awa4bg&s,image_dataset\Lion\Lion_4.jpg,259,194
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0tYLXrPm_afsYxkVygwHAZlLel1jgS-7eTg&s,image_dataset\Lion\Lion_5.jpg,288,175
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREydiyqAmUelkGNxLbKlyFnYUXbCb37sB6bg&s,image_dataset\Lion\Lion_6.jpg,183,275
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcSAxIZ-hSxw2ROMJBPghAUoD-HMi8OxDc_w&s,image_dataset\Lion\Lion_7.jpg,193,261
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTc35e5sLjS_5MIBof_o1vO_mef9mUGeZexMA&s,image_dataset\Lion\Lion_8.jpg,313,161
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8rqQiAKlWIQJ1YqzoTaPF7kCOWZoFwp5BZA&s,image_dataset\Lion\Lion_9.jpg,205,245
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1eL3nDCqbSvwfqF6za963nwWEcpXwRU5pwg&s,image_dataset\Lion\Lion_10.jpg,183,275
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAp0tIEtTfqPmd7RHXwfx3CXu_IaEgTIT2JQ&s,image_dataset\Lion\Lion_11.jpg,265,190
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcZ8al0bYkS9D927Pnk1AAv_ZT8iqBr_XBFA&s,image_dataset\Lion\Lion_12.jpg,251,201
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcST9FT-2x-dEC3H2IpkUmVETuH6iOzBsRzCrg&s,image_dataset\Lion\Lion_13.jpg,275,183
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8GvZhDqa5zhlcKT2FrT6RqFBlQwEjjEAFeA&s,image_dataset\Lion\Lion_14.jpg,259,194
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQa_yOd-OazW-NKvr5k1FYrbbbNUfTlBtNTpg&s,image_dataset\Lion\Lion_15.jpg,194,259
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8VebdxMhW1rPpjyxaJiO9f44-GdaVy-mtig&s,image_dataset\Lion\Lion_16.jpg,273,185
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTr8Xj3WNfSHelXWsJDFlB587OSehGvPVMxEg&s,image_dataset\Lion\Lion_17.jpg,300,168
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRG7unyZnNCfa3wEvOG3wlZbGgLe4UXGWy9IA&s,image_dataset\Lion\Lion_18.jpg,274,184
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQS1L8QpxUsWzsm_ewHmKX4SIyThE8HJRru7Q&s,image_dataset\Lion\Lion_19.jpg,272,185
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-KuSCHi5QcoFyNsr3w9fViCD16jeSj9Oeyg&s,image_dataset\Lion\Lion_20.jpg,210,240
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCKwNEdhXPjwJZmddqGJY6XUqC-7gm7rJUtQ&s,image_dataset\Lion\Lion_21.jpg,276,183
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQv0bK-x4J4TvBn9YT1pkoZeNs5gDs0VuHyQA&s,image_dataset\Lion\Lion_22.jpg,275,183
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUBdvB8ulRfMQVxGpg3jMZDvN_y5-ACvWYPg&s,image_dataset\Lion\Lion_23.jpg,201,251
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMN_SSDEMkvqSp3AbTZATSHndrnHoUKIMjjIPbL3pn&s=0,image_dataset\Lion\Lion_24.jpg,50,50
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSL6aw85ivFMVAnTq9ZIWxj30Gt7tuoSqDmxuAV0-dg&s=0,image_dataset\Lion\Lion_25.jpg,50,50
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRNtpbvb_pZbYGOCAYfa874mptWsB196E_4QDYkmK1jNnX11XknFi0&s=0,image_dataset\Lion\Lion_26.jpg,50,50
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZd_wyDD4JM9XMahiepz8UE-LuAKqQhU9Jmg&s,image_dataset\Lion\Lion_27.jpg,274,184
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAiosseV_qc_WuzkSI7Olp-eKg-lei9upXPg&s,image_dataset\Lion\Lion_28.jpg,275,183
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuT9-1pF4Ei2ULQJEXpw9Al3TPI7I4EOFT3g&s,image_dataset\Lion\Lion_29.jpg,242,208
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHsz-4rbSliPCYhE9aJ7bCJd7PgKFLKTT99w&s,image_dataset\Lion\Lion_30.jpg,275,183
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZUrUwZ7E2P--UTY6nNJvE43GSGXyoa_CrTw&s,image_dataset\Lion\Lion_31.jpg,281,179
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTk5MaSiQjG273j0oGdPuFhSWyrX11HkChgdw&s,image_dataset\Lion\Lion_32.jpg,275,183
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7dITy_2lobJA4mbRmvFL-KMQFinJUN_OUBA&s,image_dataset\Lion\Lion_33.jpg,375,134
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSas-FCwrJQfEvfuR__eLYNH4SlEZOX88HEMA&s,image_dataset\Lion\Lion_34.jpg,201,251
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdNawEWq-ofgNUXG4QomB5k3_-ETtv7xymog&s,image_dataset\Lion\Lion_35.jpg,300,168
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSU_RVjoCbQrOQqvHkeQnIA8OU184m4iiUehA&s,image_dataset\Lion\Lion_36.jpg,300,168
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyhf6728BGTLztwLgtYJ1l7Di_X9PTKNwAA&s,image_dataset\Lion\Lion_37.jpg,249,202
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDy-vvXT9YFaB_iFf15YlEz3Xel2tcPJ8IFA&s,image_dataset\Lion\Lion_38.jpg,316,160
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPY6UkgFC6NaSO2f-3FJCDBDWfEF2Dpl7WcA&s,image_dataset\Lion\Lion_39.jpg,300,168
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAvoNaZoMa86EvZwFJFX0kmEjB6YSMsbz47A&s,image_dataset\Lion\Lion_40.jpg,201,251
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWrgMC3MMWciwbYCm__XRW7jZMDBnerYqZAw&s,image_dataset\Lion\Lion_41.jpg,275,183
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9HwDl-H-7B-OuQaPzZjq90wyNW0zsTSAnnA&s,image_dataset\Lion\Lion_42.jpg,299,168
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjSvY9lFT10Oz90IVISPOLaVb_I6jH5MMbcw&s,image_dataset\Lion\Lion_43.jpg,221,228
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJLNtfLY9ts1D4cISQFQTGq1vsc4ZrIgktag&s,image_dataset\Lion\Lion_44.jpg,225,225
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKrLGPnxtIEXds6Tn3P41j8uzSRLR36x912w&s,image_dataset\Lion\Lion_45.jpg,286,176
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdjliBazfpdIHnSHxIT-SqegfYSi0FCOseaQ&s,image_dataset\Lion\Lion_46.jpg,220,229
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZJsZ-HYdoVKOtTgCzFoF9NafkDQbjtdNebw&s,image_dataset\Lion\Lion_47.jpg,201,251
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTa1fF9XM4NjYmxUvzUpye3Rf74ljGmpsgObw&s,image_dataset\Lion\Lion_48.jpg,300,168
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsuI88q5H8cmeEbKMx-ojMyQz8A3Z3iDkBvQ&s,image_dataset\Lion\Lion_49.jpg,201,250
Lion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1FgQ7315-apVCJrL-1sbsI-W4l0Xf87310g&s,image_dataset\Lion\Lion_50.jpg,201,250
Tiger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSj8KXL5Lqn4jNRMAxhXbdiZ5N5knAoZvJjMQeXXP6ktcl2gFPLm1TI8O8R&s,image_dataset\Tiger\Tiger_1.jpg,46,65
Tiger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWzu05DOb5-ezKxapIsyItJZ0PQf7pvgWHSXuXQGcdET7mFgeBTlqeA7Om&s,image_dataset\Tiger\Tiger_2.jpg,69,46
Tiger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQmfLMNSRKCr2xVqhbqbH2kUdPlBmFWzP_bAZuuySkbXGpNrwZs-AUNCn5&s,image_dataset\Tiger\Tiger_3.jpg,69,46
Tiger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0PMAYvix93ZClIBEVgZwPExd7CZ9w57LpBA&s,image_dataset\Tiger\Tiger_4.jpg,285,177
Tiger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCoSY4QjFLssLZP2uczXKiuMId1qWcC4ebzA&s,image_dataset\Tiger\Tiger_5.jpg,300,168
Tiger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMurPjIzQstsmdYAjIYo60jIuhUy4D6jw2Fw&s,image_dataset\Tiger\Tiger_6.jpg,225,225
Tiger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqbe53YRR5yYVH5Nv3Z1ln_knBsHjYzNga4g&s,image_dataset\Tiger\Tiger_7.jpg,270,187
Tiger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvJsIGE9WHBqGmzNAhs3-OJG8b08hhnn7uIA&s,image_dataset\Tiger\Tiger_8.jpg,300,168
Tiger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2CXOT9Qb4TnDxPDBV_U8Cz-Es922IXjyuXA&s,image_dataset\Tiger\Tiger_9.jpg,183,275
Tiger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRF5BixK8JmlCY-qpSbX0UU05hi9njTI6Z8YA&s,image_dataset\Tiger\Tiger_10.jpg,300,168
Tiger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKflCSOrMFVADq57lLnqMtjYgRu-2SCWzOYw&s,image_dataset\Tiger\Tiger_11.jpg,276,183
Tiger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjyV81I5bzDWayNBN-cXce5eQLkEXLOczLiQ&s,image_dataset\Tiger\Tiger_12.jpg,293,172
Tiger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4JHLJ6OoThg6Dfg2o59P-OG9LKNUEdrGvdg&s,image_dataset\Tiger\Tiger_13.jpg,251,201
Tiger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTa6khIhSKVWPI9QKzNTmkF5asrMCV50fr-AQ&s,image_dataset\Tiger\Tiger_14.jpg,275,183
Tiger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_Rmu8TRY_spIn5DgnxlS85wWrmXtu8xhixA&s,image_dataset\Tiger\Tiger_15.jpg,189,267
Tiger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3u11sXU6yUy-A4Bt1qccRf-TwDTeY8byAkw&s,image_dataset\Tiger\Tiger_16.jpg,299,168
Tiger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5bs6npC5GsSGKLoCyMBevEHHmXSxI2rLwDw&s,image_dataset\Tiger\Tiger_17.jpg,300,168
Tiger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDpX2nTs7AuwT9fK4Fl9paNveUV9MOmQ935A&s,image_dataset\Tiger\Tiger_18.jpg,275,183
