Category,Title,Date,URL,Content
Fiction,Goodreads | Meet your next favorite book,2025-03-09,https://www.goodreads.com,"You’re in the right place. Tell us what titles or genres you’ve enjoyed in the past, and we’ll give you surprisingly insightful recommendations. Chances are your friends are discussing their favorite (and least favorite) books on Goodreads. Because Shomeret liked… She discovered: Psychology, Animals, Science, Nature Because ♥Meagan♥ liked… She discovered: Historical Fiction, Book Club More book lists Gain access to a massive audience of book lovers. Goodreads is a great place to promote your books. Welcome back. Just a moment while we sign you in to your Goodreads account."
Fiction,Homepage - Reactor,2025-03-09,https://www.tor.com,"Advertisement Science fiction. Fantasy. The universe. And related subjects. The Reactor newsletter is the best way to catch up on the world of science fiction, fantasy, pop culture, and more! Kochin is a heartsooth—a rare being with the ability to heal any wound. Any wound, that is, exce... Werewolves, queens, and assassins are just some of the interesting folks you'll encounter in Mar... Hedgewitch apprentices, engineers, students, and paranormal investigators all appear in March's... A queer standalone YA fantasy full of pirates and sea-magic—and one terrifying monster. The world of teen horror is a scary place, especially in tales of isolation... Works on Ancient Greece to the Inquisition and the Renaissance, WWII to the present day… When Colin meets a shadowy figure promising him his heart’s deepest desire, he can’t resist... Lanie Stones is the necromancer that Death has been praying for… In this tender, eerie, and hard-to-classify novel, two sisters live in the Garden, isolated from... France is under water, Korea is reunited, and a meteorite has struck Washington, D.C. in March's... The roots of this one go all the way back to Revelation... When does a genre literary trope cross the threshold into marketing trend? A woman about to leave on an overseas business trip, calls home from the airport and discovers t... A new story set in the world of “The Red Mother.” Hacksilver riddled with a dragon, saved his fa... A pair of sisters are hired to find--and if necessary, dispose of--whatever is killing neighborh... The spirit of a recently deceased young boy helps a group of ghosts seek revenge on a corrupt an... Mel relishes running the “Enchanted Jungle,” a roadside attraction in the Everglades filled with... Teenage Graff dreams of going off-world to explore the universe as a documentarian, but he never... A woman losing her sight turns to small family magics to save the lives of those she loves the m... In one small town, the delicate balance between predator and prey is threatened when five girls... The Reactor newsletter is the best way to catch up on the world of science fiction, fantasy, pop culture, and more! “You want stories?"" Thom Merrilin declaimed. ""I have stories, and I will give them to you. I will make them come alive before your eyes.” Robert Jordan, The Eye Of The World TPG 2025•Site Credit For compliance with applicable privacy laws:"
Fiction,Literary  Hub,2025-03-09,https://lithub.com,"Featuring Brad Johnson, Emily Temple, James Folta, and Drew Broussard In Praise of an Early Poetic Chronicler of Black Queer Life Rebecca Worby on Will Stratton’s “Points of Origin” Featuring Chimamanda Ngozi Adichie, Laila Lalami, Chloe Dalton, and More Jennifer Lucy Allan on the Millennia-Long Relationship Between Humans and Hands-On Creation Nick Thorpe Explores the Intersections of Geography and Culture in Central and Eastern Europe Remembering an Award-Winning Writer Who Sacrificed Her Life For Justice Created by Grove Atlantic and Electric Literature Masthead About Sign Up For Our Newsletters How to Pitch Lit Hub Advertisers: Contact Us Privacy Policy Support Lit Hub - Become A Member"
Non-Fiction,"Books: Book Reviews, Book News, and Author Interviews : NPR",2025-03-09,https://www.npr.org/sections/books,"November 25, 2024 •Books We Love returns with 350+ new titles handpicked by NPR staff and trusted critics. Find 12 years of recommendations all in one place — that's nearly 4,000 great reads. A review card of Virginia Woolf's 1925 novelMrs. Dalloway, written by a Los Angeles Public Library staff member around the time of the book's publication.James Sherman/Los Angeles Public Libraryhide caption March 8, 2025 •The Los Angeles Public Library stores thousands of index cards with staff reviews of books dating back to the 1920s. A librarian explains how they were used and what we can learn from them today. March 6, 2025 •Author Zadie Smith says she'll miss being young. In this week'sWild Card, Smith opens up about having enough time and growing older. Tina FeyMary Ellen Matthewshide caption March 5, 2025 •Mary Ellen Matthews has beenSNL's photographer for 25 years. In a new book,The Art of the SNL Portrait, she shares her most iconic celebrity photos, like Pete Davidson eating pasta. Pulitzer Prize winner andTo Kill A Mockingbirdauthor Harper Lee smiles before receiving the 2007 Presidential Medal of Freedom at the White House on Nov. 5, 2007.Chip Somodevilla/Getty Imageshide caption March 4, 2025 •The beloved author ofTo Kill a Mockingbirdfamously only released two novels in her lifetime. Now, the world will get to read more of Lee's work with an upcoming release of short stories and essays. Chimamanda Ngozi Adichie on the themes of her new novel, Dream Count: ""I wanted to write about women's lives. And the reality of it is that for many women, the men in their lives in some ways, shape their lives.""Ulf Andersen/Getty Imageshide caption March 4, 2025 •Celebrated Nigerian writer Chimamanda Ngozi Adichie speaks with NPR's Michel Martin about her new book, ""Dream Count."" March 4, 2025 •Linda Holmes knows what goes into a good romantic comedy. Linda has written about pop culture for more than 20 years and is a huge fan of the genre. She's also written romantic comedy novels herself. Linda joins us on Bullseye to discuss her latest novelBack After This. She breaks down the clichés that make rom-coms great and the tropes that make them stink. Hanif Kureishi says his fall in 2022 didn't rob him of his ability to function or be creative: ""In fact, I'm writing more now.""Kier Kureishi/Harper Collinshide caption March 3, 2025 •Kureishi began his new memoir just days after a fall left him paralyzed. In it, he describes being completely dependent on others — and the sense of purpose he's gained from writing. Jordan Chiles of Team USA reacts after finishing her routine on the uneven bars during the Olympic Games in Paris 2024.Jamie Squire/Getty Imageshide caption March 3, 2025 •Olympic gymnast Jordan Chiles shares her up-and-down journey to the 2024 Paris Games and what happened afterward, in her new memoir, ""I'm That Girl: Living the Power of My Dreams."" ""I have a lot to think about the relationship between mourning, between grieving, and between pain, generally speaking, and bilingualism and living in a different language,"" says Pulitzer winner Cristina Rivera Garza aboutDeath Takes Me,her newly translated novel.Penguin Random House.hide caption February 27, 2025 •Pulitzer winner Cristina Rivera Garza offers new perspective on gender violence through a murder mystery and poetry. February 26, 2025 •Formerly enslaved people would placed ads in newspapers hoping to find lost children, parents, spouses and siblings. Historian Judith Giesberg tells the stories of some of those families in a new book. February 24, 2025 •Live Fastwon France's top literary prize in 2022. Brigitte Giraud's haunting book revisits the death of her husband in a motorcycle crash 20-odd years earlier. February 23, 2025 •This year brings memoirs from more than a dozen famous names — from Brooke Shields and Dawn Staley to Bill Belichick and Lionel Ritchie. Rare book collector Rebecca Romney holdsThe Mysteries of Udolphoby Ann Radcliffe, published in 1794. The novel is among the archives that inspiredJane Austen's Bookshelf, Romney's new book on the women writers who influenced Austen.Valerie Plesch for NPRhide caption February 21, 2025 •""Jane Austen's Bookshelf"" spotlights eight women writers, largely lost to history, who influenced the English novelist. The Kennedy Center on Aug. 13, 2019, in Washington, D.C.Jacquelyn Martin/APhide caption February 20, 2025 •A spokesperson for the Kennedy Center says the threat targeted Shen Yun, a touring dance troupe that is banned in China, because it is associated with the religious group Falun Gong. February 20, 2025 •Malinda Russell'sA Domestic Cookbookwas first published in 1866. It contains least a hundred recipes for sweets, plus recipes for shampoo and cologne – and remedies for toothaches. Author Eric Puchner's new novel,Dream State,is about a love triangle that tests the decades-long friendship of two college friends.Justin T. Gellerson for NPRhide caption February 19, 2025 •Eric Puchner's new novel,Dream State, was just named the latest Oprah book club pick. It's about a love triangle that tests the decades-long friendship of two college friends. Memorial Days, by Geraldine BrooksPenguin Random Househide caption February 18, 2025 •Horwitz died suddenly in 2019 while on a book tour. InMemorial Days, Geraldine Brooks grieves her husband — and also reflects on the life she might have lived had they not met. February 14, 2025 •Fan fiction — unsanctioned, unofficially published works based on popular novels or films — was intentionally never mainstream. The coming months will see a trio of titles by popular Draco and Hermione — Dramione — fanfic authors. Salman Rushdie presented his book Knife at El Ateneo Library, in Madrid on May 20, 2024.Cesar Luis de Luca/Picture alliance/Getty Imageshide caption February 10, 2025 •Hadi Matar, who is on trial for the knife attack against the British author, has also been accused of supporting terrorism and attempting to carry out a fatwa calling for Rushdie's assassination. Tom Robbins, at a 2014 reading of his memoirTibetan Peach Pieat Powell's Books at Cedar Hills Crossing in Beaverton, Ore.Alex Milan Tracy/APhide caption February 9, 2025 •Robbins dazzled readers with the whimsy and imagination in his books, includingJitterbug Perfume, Skinny Legs and AllandEven Cowgirls Get the Blues. February 9, 2025 •For centuries, scholars only had one version of the life of Margery Kempe, an English mystic who lived in the 14th and 15th centuries — until a ping pong match revealed her story in her own words. Kids' books author Mac Barnett is the new National Ambassador for Young People's LiteratureChris Black/Library of Congresshide caption February 6, 2025 •The Library of Congress has given Mac Barnett the job of promoting books and reading to kids across the country. His plan is to focus on picture books. February 6, 2025 •Kay Sohini's graphic memoir,This Beautiful, Ridiculous City,tells a story of migration and redefinition. Gay Talese gathers many of his great pieces about the city inA Town Without Time. Sponsor Message Become an NPR sponsor"
Non-Fiction,Books | The Guardian,2025-03-09,https://www.theguardian.com/books,
Non-Fiction,"Culture: TV, Movies, Music, Art, and Theatre News and Reviews | The New Yorker",2025-03-09,https://www.newyorker.com/books,"Sections More ©2025Condé Nast. All rights reserved.The New Yorkermay earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast.Ad Choices"
Science Fiction & Fantasy,Homepage - Reactor,2025-03-09,https://www.tor.com,"Advertisement Science fiction. Fantasy. The universe. And related subjects. The Reactor newsletter is the best way to catch up on the world of science fiction, fantasy, pop culture, and more! Kochin is a heartsooth—a rare being with the ability to heal any wound. Any wound, that is, exce... Werewolves, queens, and assassins are just some of the interesting folks you'll encounter in Mar... Hedgewitch apprentices, engineers, students, and paranormal investigators all appear in March's... A queer standalone YA fantasy full of pirates and sea-magic—and one terrifying monster. The world of teen horror is a scary place, especially in tales of isolation... Works on Ancient Greece to the Inquisition and the Renaissance, WWII to the present day… When Colin meets a shadowy figure promising him his heart’s deepest desire, he can’t resist... Lanie Stones is the necromancer that Death has been praying for… In this tender, eerie, and hard-to-classify novel, two sisters live in the Garden, isolated from... France is under water, Korea is reunited, and a meteorite has struck Washington, D.C. in March's... The roots of this one go all the way back to Revelation... When does a genre literary trope cross the threshold into marketing trend? A woman about to leave on an overseas business trip, calls home from the airport and discovers t... A new story set in the world of “The Red Mother.” Hacksilver riddled with a dragon, saved his fa... A pair of sisters are hired to find--and if necessary, dispose of--whatever is killing neighborh... The spirit of a recently deceased young boy helps a group of ghosts seek revenge on a corrupt an... Mel relishes running the “Enchanted Jungle,” a roadside attraction in the Everglades filled with... Teenage Graff dreams of going off-world to explore the universe as a documentarian, but he never... A woman losing her sight turns to small family magics to save the lives of those she loves the m... In one small town, the delicate balance between predator and prey is threatened when five girls... The Reactor newsletter is the best way to catch up on the world of science fiction, fantasy, pop culture, and more! “You want stories?"" Thom Merrilin declaimed. ""I have stories, and I will give them to you. I will make them come alive before your eyes.” Robert Jordan, The Eye Of The World TPG 2025•Site Credit For compliance with applicable privacy laws:"
Science Fiction & Fantasy,Locus Online – The Magazine of the Science Fiction and Fantasy Field,2025-03-09,https://www.locusmag.com,"The Magazine of the Science Fiction and Fantasy Field The five-title 2025 PEN/Faulkner shortlist for fiction has been announced, with titles and authors of genre interest, includingGhostrootsby ’Pemi Aguda (Norton) andJamesby Percival Everett (Doubleday). The prize “honors the best published works of fiction by American citizens in a calendar year.” This year’s judges are Bruce Holsinger, Deesha Philyaw, and Luis Alberto Urrea. The “first among equals” winner will be announced in April. The finalists and Galaxy Raiders: Abyss, Ian Douglas (Harper Voyager 978-0063205741, trade paperback, 400pp, $18.99) February 2025 I think most folks are well aware of how SF/F/H concepts trickle out into the public domain, and percolate through the minds of citizenry who might never have read a relevant book or even experienced a relevant media presentation. Take “teleportation,” for instance. Once an abstruse notion that meant nothing to the average citizen of...Read More Analog 11-12/24 “That Far, Uncharted Ocean” byAuston Haber­shawin the November/December issue of Analog features recurring characters and a world appear­ing in previous Analog stories by the author. Amos Tambly is recruited by the Thraad, snaillike aliens, who want to win a sailing regatta but have no knowledge of boats and are afraid of the ocean. Amos agrees, but ultimately learns that the Thraad intend to wipe...Read More Zodiac Rising, Katie Zhao (Random House 978-0-593-64641-0, $19.99, 416pp, hc) October 2024. Cover by Deb JJ Lee. Author Katie Zhao opens her young adult fantasy thrillerZodiac Risingwith a brief prologue ex­plaining the history behind 12 Chinese warriors, based on the zodiac calendar, who were sum­moned centuries ago in response to a royal plea to battle monsters known as Wrathlings. Their lineage brought peace to the land until...Read More Keith Roberts’s Pavane: A Critical Compan­ion, Paul Kincaid (Palgrave Macmillan 978-3031715662, $37.99, 86pp, hc) November 2024. For the past couple of years, Palgrave has been publishing a series of short “critical companion” monographs each focusing on a single title of what it calls the “new canon”; books covered so far includeThe Last Unicorn,Dune,The Hobbit,Neuromancer,Neverwhere,The Stars My Desti­nation,...Read More Goblins & Greatcoats, Travis Baldree (Subter­ranean) June 2024.Unquiet on the Eastern Front, Wole Talabi (Subterranean) October 2024. Flash Fiction Online 11/24 Subterranean Press has recently been of­fering short fiction online for free, and I’m catching up with June’s “Goblins & Greatcoats” byTravis Baldree, which follows Zyll, a goblin escaping the rain and road at a small inn which just happens to be at...Read More We are so happy to release our fifth episode of The Storytellers, our series of Zoom-recorded author readings! Previously, we had Daniel Abraham read ‘The Wind’. Today we are pleased to show Henry Lien reading from the first chapter ofPeasprout Chen: Future Legend of Skate and Sword, the first in his middle grade series revolving around a sport of his own invention combining kung fu and figure skating:...Read More Welcome back for another exciting new books video to kick off the month of March! Come by and learn about our picks for the top new SF, Fantasy, Horror, and YA releases for the week! Stay up-to-date, and support what we do, by subscribing to the YouTube channel! We hope to see you next week for another week of books you’ll be adding to your growing TBR list! Little, Brown Books for Young Readers has announced the launch of New Adult imprint Requited. The slate of initial projects includes fantasy and romantasy titles by Jordan Stephanie Gray, and its staff includes personnel experienced in genre fiction and fantasy. Senior editors are Alice Jerman, previously at Entangled, and Ruqayyah Daud. Lisa Yoskowitz, LBYR’s Executive Editorial Director, will serve as editorial lead. Megan Tingley, president and publisher at LBYR, told...Read More The REH Foundation has announced the shortlist for the 2025 Robert E. Howard Awards, honoring work that is “substantively devoted to the life and/or work of Robert E. Howard” or that “carries on the spirit and tradition of Robert E. Howard, to better recognize and celebrate his influence on future generations of writers.” Members of the REH Foundation vote on the awards. Voting closes on March 15, 2025. The Atlantean—Outstanding HarperCollins Children’s Books has announced the launch of Storytide, a new imprint for middle grade and YA books. Storytide’s slate will include fantasy titlesThat Devil, Ambitionby Linsey Miller andI Killed the Kingby Andrea Hannah and Rebecca Mix. VP and publisher Tara Weikum will lead the imprint. The team will also include Amy Cloud and Kristin Rens as executive editors, and Sarah Homer as editor. On the...Read More The Science Fiction and Fantasy Writers Association (SFWA) has announced C.J. Lavigne as the winner of the 2025 Kevin O’Donnell, Jr. Service to SFWA Award. The award is presented to “a volunteer of SFWA who best exemplifies the ideal of service to the Science Fiction and Fantasy Writers of America.” The announcement notes, among other things, that Lavigne contributed to SFWA’s “flight crew,” or tech support team. SFWA President Kate...Read More Salem’s Lotis the latest entry to the already extensive set of remakes, revisitations, spin-offs, and so on that are based on decades-old Stephen King stories. The list of these kinds of titles is substantial, and it includes 2017 filmItwith 2019 filmIt Chapter Twofollowed by upcoming prequelIt: Welcome to Derry; 2019 filmPet Semataryand 2023 filmPet Sematary: Bloodlines; the admittedly very...Read More Ian Neil McDonald was born March 31, 1960 in Manchester England. He moved to Northern Ireland at age five and has lived there ever since. He attended Bangor Grammar School and worked as head of development for a TV production company. McDonald began publishing SF with ‘‘The Island of the Dead’’ (1982), and his stories soon began to appear regularly in Asimov’s, Interzone, and other magazines. His novels include Locus Locus Magazine and Website cover science fiction, fantasy, young-adult, horror books, short fiction, anthologies, magazines, films, news, conventions, and international. Also interviews with SFF authors, editors, artists, and more."
Mystery & Thriller,CrimeReads,2025-03-09,https://www.crimereads.com,"Ellen Raskin's estate contains not one but two previously unpublished mystery treasures At a farmhouse in Nova Scotia, a seemingly supernatural phenomenon sparked reports and debates around the world. ""How can someone, or something, be stopped by authorities if their existence breaks the laws of physics?"" Masthead About Advertisers: Contact Us Privacy Policy"
Mystery & Thriller,Bookreporter.com |,2025-03-09,https://www.bookreporter.com,"The Book Report Network Sign up for our newsletters! In Clare Leslie Hall's much-talked-about US debut, a love triangle unearths dangerous, deadly secrets from the past. A detective and a TV show producer race to prevent another young woman from disappearing before the next blood moon. The deadline for your entries is Friday, March 21st at noon ET. This riveting and utterly original novel is about one woman’s fight for freedom, set in a near future where even dreams are under surveillance. A woman tries to uncover a mystery surrounding a local librarian and the Boxcar Library, which brought books to isolated rural towns in Montana. Our next contest will be up on Tuesday, March 11th at noon ET. The prize book will be THE WOMEN ON PLATFORM TWO by Laura Anthony. Which of the following fiction titles releasing in March do you plan to read? Please check all that apply. Take our poll »|Past poll results » Tell us about the books you’ve finished reading with your comments and a rating of 1 to 5 stars. During the contest period from February 28th to March 14th at noon ET, three lucky readers each will be randomly chosen to win a copy ofBLOOD MOONby Sandra Brown andTHE JACKAL'S MISTRESSby Chris Bohjalian. Enter contest here »|Past Entries » Our major goal for 2025 is to redesign Bookreporter and the rest of the sites in The Book Report Network. How can you help? We have launched aGoFundMecampaign and are asking for donations.Anylevel of donation that you would be comfortable with is sincerely appreciated. If you would prefer donating via check, please send to:The Book Report, Inc.16 Mt. Bethel Road, Suite 365Warren, NJ 07059Click here to read more about our plans and to donate. Curious about what books will be released in the months ahead so you can pre-order or reserve them? Then click on the months below. Bookreporter.com Bets On The following are lists of new paperback releases that we think will be of interest to you. March's Books on Screen roundup includes the series premieres of ""Just One Look"" and ""Caught"" on Netflix (both are adaptations of books by Harlan Coben), ""Long Bright River"" on Peacock, and ""The Last Anniversary"" on Sundance Now and AMC+; the season premieres of Prime Video's ""Bosch: Legacy"" and ""The Wheel of Time,"" along with ""Dark Winds"" on AMC and ""Wolf Hall: The Mirror and the Light"" on PBS ""Masterpiece""; the season finales of Prime Video's ""Reacher,"" Hallmark Channel's ""When Calls the Heart,"" and NBC's ""The Irrational""; the filmsSnow White,In the Lost Lands,The ActorandThe Friend; and the DVD/Blu-ray releases ofThe Room Next DoorandKraven the Hunter. Special Contest: Enter to Win One of 25 Advance Copies of MAYA BLUE: A Memoir of Survival, by Brenda Coffee, and Share Your Comments on It MAYA BLUEbyBrenda Coffeeisa searingly honest and unforgettable memoir that challenges women to rethink everything they know about survival, resilience and finding their voice. We have 25 advance copies to give away to those who would like to read the book, which releases on May 20th, and share their comments on it.All winners must be prepared to provide their feedbackby Monday, May 12th. The deadline for your entries is Friday, March 21st at noon ET.»Click hereto enter the contest. Our Favorite Monthly Lists & Picks for March Each month, we sharetop book picksfrom Indie Next and LibraryReads. We also feature a number of other prominent selections, including the Barnes & Noble Book Club, the ""Good Morning America"" Book Club, Oprah’s Book Club, the PBS Books Readers Club, the ""Read with Jenna"" Book Club, Reese's Book Club, and the Target Book Club. COUNT MY LIESby debut novelistSophie Stavais this month's""Good Morning America"" Book Club pick. This read-in-one-night thriller is narrated by a compulsive liar whose little white lies allow her to enter into the life and comfort of a wealthy married couple who are harboring much darker secrets themselves.»Click herefor March's Favorite Monthly Lists & Picks. Bookreporter.com's Word of Mouth Contest: Tell Us What You've Read --- and You Can Win Two Books!Let us know by Friday, March 14th at noon ET what books you’ve read, and you’ll have a chance to winBLOOD MOONby Sandra Brown andTHE JACKAL'S MISTRESSby Chris Bohjalian in ourWord of Mouth contest. InBLOOD MOON, an embittered detective and an ambitious TV show producer are in a race against the clock to prevent another young woman from disappearing before the next blood moon. Inspired by a real-life friendship across enemy lines,THE JACKAL'S MISTRESSis a Civil War love story in which the wife of a missing Confederate soldier discovers a wounded Yankee officer and must decide what she’s willing to risk for the life of a stranger.»Click hereto enter the contest. Bookreporter.com's 14th Annual Spring Reading Contests and FeatureSpring is in the air (or will be very soon)! We’ve already caught the fever --- and it’s being fueled by some wonderful new and upcoming releases. Our 14th annualSpring Reading Contests and Featurespotlights many of these picks, which we know people will be talking about over the next few months. We are hosting a series of 24-hour contests for these titles on select days through April 18th. You will need to check the site to see the featured book and enter to win. We also are sending a special newsletter to announce each title, which you can sign up forhere. Our next contest will be up on Tuesday, March 11th at noon ET. The prize book will beTHE WOMEN ON PLATFORM TWObyLaura Anthony,a sweeping and timely novel inspired by a remarkable and little-known true story.In 1970s Dublin, all forms of contraception are strictly forbidden, but an intrepid group of women will risk everything to change that.»Click hereto read all the contest details and learn more about our featured titles. As part of our mission to expand The Book Report Network, we have been shootingvideo interviewswith authors and posting them on ourYouTube channel. We also have been making them available aspodcasts. Carol loves interviewing authors, so this feels like a natural. GOOD DIRTisCharmaine Wilkerson's new novel and aBets On title. Charmaine explains how the character of Ebby Freeman came to her, along with the idea of the clay jar that has been in the family for generations. She shares the research that she did about the work of slaves in the South who created pottery with clay, tracing how an item like this could have made its way from the South to Connecticut with slaves who worked on sailing vessels. And she muses that what happened to Ebby would have a major impact on the rest of her life. As she did in herNew York Timesbestseller,BLACK CAKE, Charmaine invites readers to look at traditions and ideas that they may not have heard about previously while at the same time telling the story of a family. Watch thevideoor listen to thepodcast. Carol had the pleasure of catching up withMarie Benedictabout her latest novel,THE QUEENS OF CRIME, which is aBets On selection. Marie read classic women’s mysteries at a young age, as she was introduced to them by her aunt. Her love for the genre influenced this book, as well as her earlier work,THE MYSTERY OF MRS. CHRISTIE. She discusses the case that the five female crime writers in the novel set out to unravel, explains why a case like this might have taken long to solve, and talks more about the legendary Detection Club. Marie also shares what she is working on now and notes a future collaboration, once again, withVictoria Christopher Murray. Watch thevideoor listen to thepodcast. Joseph Finder's new book,THE OLIGARCH’S DAUGHTER, is aBets On pick. In this breakneck thriller, a young hedge funder falls for an attractive woman he meets at a party who turns out to be the daughter of a Russian oligarch. Joe talks about writing the novel’s two time frames and how the awareness of what oligarchs are has become a lot more timely in the past few years. He did some wilderness training for part of the book and then jumped at the chance to learn more about superyachts that are owned by the uber-wealthy. Joe explains the process of building his characters and what drives them. He also shares what’s next for him. Watch thevideoor listen to thepodcast. »Click herefor a complete list of our ""Bookreporter Talks To"" videos and podcasts, along with upcoming interviews. After more than a year of laying low, Billie, Helen, Mary Alice and Natalie are called back into action. When they receive a summons from the head of the elite assassin organization known as the Museum, they are ready to tackle the greatest challenge of their careers. Someone on the inside has compiled a list of important kills committed by Museum agents, connected to a single, shadowy figure, an Eastern European gangster with an iron fist, some serious criminal ambition, and a tendency to kill first and ask questions later. This new nemesis is murdering agents who got in the way of their power-hungry plans, and the aging quartet of killers is next. Together the foursome embark on a wild ride across the globe on the double mission of rooting out the Museum’s mole and hunting down the gangster who seems to know their next move before they make it. Betty MacDonald was a 28-year-old reporter from Hawaii. Zuzka Lauwers grew up in a tiny Czechoslovakian village and knew five languages by the time she was 21. Jane Smith-Hutton was the wife of a naval attaché living in Tokyo. Marlene Dietrich, the German-American actress and singer, was one of the biggest stars of the 20th century. As members of the OSS during World War II, their task was to create a secret brand of propaganda produced with the sole aim to break the morale of Axis soldiers. Betty, Zuzka, Jane and Marlene forged letters and “official” military orders, wrote and produced entire newspapers, scripted radio broadcasts and songs, and even developed rumors for undercover spies and double agents to spread to the enemy. And outside of a small group of spies, no one knew they existed. Until now. Ward D is the hospital's mental health unit, and as a medical student, Amy is required to gain experience on the floor. But little do her colleagues know that it may force her to confront a past she has fought hard to forget. The night starts. The countdown begins. As the hours tick by, Amy grows increasingly convinced that something terrible is happening within the ward's tightly secured walls. When patients and staff start to vanish without a trace, it becomes clear that everyone on the unit is in grave danger. Amy never wanted to spend the night on Ward D. Now she might not make it out alive. It's July 1992, and the Troubles in Northern Ireland are still grinding on after 25 apocalyptic years. Detective Inspector Sean Duffy got his family safely over the water to Scotland, to ""Shortbread Land."" Duffy is a part-timer now, only returning to Belfast six days a month to get his pension. It's an easy gig, if he can keep his head down. But then a murder case falls into his lap while his protege is on holiday in Spain. A carjacking gone wrong and the death of a solitary, middle-aged painter. But something is not right, and as Duffy probes, he discovers that the painter was an IRA assassin. So the question becomes: Who hit the hitman, and why? This is Duffy's most violent and dangerous case yet, and the whole future of the burgeoning ""peace process"" may depend upon it. No one is more sympathetic than a mother whose child faces a life-threatening illness. But what if the mother is the cause of the illness? What if the sympathy is the point? Munchausen by proxy (MBP) has fascinated and horrified both professionals and the general public since this disturbing form of child abuse was first identified. But even as the public has been captivated by these tales of abuse and deception, there remains widespread misinformation and confusion about MBP. Are these mothers unfeeling psychopaths, or sick women who need help? And how can we protect the children whose lives are at stake? THE MOTHER NEXT DOOR offers a groundbreaking look at MBP from an unlikely duo: a Seattle novelist whose own family was torn apart by it, and the Texas detective who has worked on more medical child abuse cases than anyone in the nation. In 26 sparkling essays, illuminated through both text and image, celebrated author and artist A. Kendra Greene is trying to make sense of the things that matter most in life: love, connection, death, grief, the universe, meaning, nothingness and everythingness. Through a series of encounters with strangers, children and animals, the wild merges with the domestic; the everyday meets the sublime. Each essay returns readers to our smallest moments and our largest ones in a book that makes us realize --- through its exuberant language, playful curation and delightful associative leapfrogging --- that they are, in fact, one and the same. For the past 18 years, Ivy Gordon has been the most famous star at the Dollhouse Academy, the elite boarding school and talent incubator that every aspiring performer dreams of attending. But in secret diary entries, she begins to reveal the truth of her life at the Dollhouse: strange medical exams, mysterious supplements, and something unspeakable that has left her terrified and feeling like a prisoner. Ramona Halloway and her best friend, Grace Ludlow, grew up idolizing Ivy. Neither has made much headway in showbiz until a lucky break grants them entry to the Dollhouse. When Ramona begins to receive threatening anonymous messages, it’s easy to dismiss them as a prank from a rival. Her bigger concern is Grace’s skyrocketing success. But as the messages grow more unsettling, so does life at the Dollhouse. As the smoke from Canadian wildfires chokes Detroit, PI Amos Walker is tasked with investigating a fatal hit-and-run. The victim is Spencer Bennett, a junior law associate with the Waterford Group, and he supposedly had a file of confidential documents on him when he died. But those documents have now gone missing, and the firm is dead set on Walker finding them. As Walker digs deeper into the events leading to Bennett's death, all signs are pointing towards the crash being anything but accidental. Summer in Detroit was hot enough before the smoke descended, but as the temperature rises and more bodies crop up in connection to the missing file, Walker will have to track down those documents --- and unearth why they were worth killing over --- before it's too late. Grief-stricken over her mother’s death and bruised by her failure on her most recent case, Special Agent Emmeline Helliwell with the National Park Service returns to her Utah hometown to heal and regroup. She’s determined to turn in her badge and take over her mother’s bakery for a much quieter life…until the body of a childhood friend turns up in The Narrows of Zion National Park. The case is too personal for Emme to turn down, but the seemingly simple investigation turns treacherous as clues that connect to her previous case grow too glaring to ignore. When bodies start to pile up, Emme must track down the killer before they take more lives, venturing deep into Zion National Park to uncover the sordid secrets hiding beneath its stunning beauty. Copyright © 2025 The Book Report, Inc. All Rights Reserved."
